Player,Nation,Pos,Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance Gls,Performance Ast,Performance GA,Performance G-PK,Performance PK,Performance PKatt,Performance CrdY,Performance CrdR,Expected xG,Expected npxG,Expected xAG,Expected npxGxAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes GA,Per 90 Minutes G-PK,Per 90 Minutes GA-PK,Per 90 Minutes xG,Per 90 Minutes xAG,Per 90 Minutes xGxAG,Per 90 Minutes npxG,Per 90 Minutes npxGxAG,Matches,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected npxG/Sh,Expected G-xG,Expected npG-xG,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,TklInt,Clr,Err,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance 2CrdY,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Int,Performance TklW,Performance PKwon,Performance PKcon,Performance OG,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Agustín Rossi,ar ARG,GK,30-060,42,42,3810.0,42.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,42.3,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,944.0,1153.0,81.9,23949.0,15233.0,178.0,180.0,98.9,515.0,519.0,99.2,245.0,443.0,55.3,0.0,0.0,0.2,0.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,1218.0,1034.0,1215.0,5.0,0.0,0.0,1218.0,1.0,1.0,100.0,0.0,0.0,787.0,3625.0,2246.0,0.0,0.0,0.0,0.0,0.0,686.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,7.0,2.0,77.8
Leo Ortiz,br BRA,DF,29-290,39,38,3329.0,37.0,2.0,2.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,2.0,1.5,3.5,37.0,236.0,5.0,0.05,0.05,0.11,0.05,0.11,0.06,0.04,0.1,0.06,0.1,Matches,37.0,2.0,24.0,8.0,33.3,0.65,0.22,0.08,0.25,12.4,0.0,0.0,0.0,0.09,0.0,0.0,2310.0,2551.0,90.6,43981.0,17280.0,819.0,870.0,94.1,1226.0,1311.0,93.5,243.0,331.0,73.4,2.0,1.5,1.6,0.5,12.0,235.0,16.0,4.0,236.0,37.0,23.0,20.0,16.0,1.0,11.0,14.0,78.6,3.0,24.0,20.0,4.0,34.0,69.0,150.0,4.0,2856.0,218.0,1147.0,1618.0,99.0,27.0,2856.0,14.0,12.0,85.7,1.0,7.1,1747.0,8474.0,5129.0,37.0,20.0,1.0,19.0,2.0,2099.0,5.0,0.0,24.0,8.0,1.0,8.0,34.0,23.0,0.0,0.0,0.0,144.0,80.0,50.0,61.5
Léo Pereira,br BRA,DF,29-262,37,36,3251.0,36.1,4.0,1.0,5.0,4.0,0.0,0.0,7.0,0.0,2.7,2.7,1.0,3.7,30.0,161.0,13.0,0.11,0.03,0.14,0.11,0.14,0.08,0.03,0.11,0.08,0.11,Matches,36.1,4.0,23.0,8.0,34.8,0.64,0.22,0.17,0.5,12.8,4.0,0.0,0.0,0.13,1.3,1.3,2397.0,2592.0,92.5,43589.0,13637.0,884.0,923.0,95.8,1303.0,1353.0,96.3,188.0,269.0,69.9,1.0,1.0,0.8,0.0,8.0,166.0,8.0,1.0,161.0,31.0,23.0,22.0,8.0,1.0,16.0,32.0,50.0,16.0,30.0,16.0,14.0,28.0,57.0,142.0,1.0,2876.0,262.0,1177.0,1597.0,115.0,25.0,2876.0,4.0,1.0,25.0,3.0,75.0,1816.0,9451.0,5152.0,30.0,19.0,0.0,13.0,3.0,2134.0,13.0,0.0,27.0,15.0,0.0,10.0,28.0,23.0,0.0,3.0,1.0,124.0,69.0,50.0,58.0
Giorgian De Arrascaeta,uy URU,MF,31-141,38,37,2755.0,30.6,18.0,13.0,31.0,17.0,1.0,1.0,5.0,0.0,8.9,8.1,7.0,15.1,55.0,145.0,239.0,0.59,0.42,1.01,0.56,0.98,0.32,0.25,0.57,0.29,0.54,Matches,30.6,18.0,79.0,27.0,34.2,2.58,0.88,0.22,0.63,17.6,3.0,1.0,1.0,0.12,8.1,7.9,975.0,1298.0,75.1,15056.0,4007.0,542.0,621.0,87.3,331.0,422.0,78.4,69.0,171.0,40.4,13.0,7.0,8.0,6.0,62.0,103.0,43.0,8.0,145.0,39.0,19.0,14.0,17.0,8.0,11.0,25.0,44.0,14.0,12.0,2.0,10.0,6.0,45.0,10.0,0.0,1583.0,10.0,106.0,685.0,814.0,109.0,1582.0,86.0,44.0,51.2,31.0,36.0,920.0,4389.0,2046.0,55.0,51.0,14.0,75.0,40.0,1196.0,239.0,0.0,19.0,62.0,2.0,155.0,6.0,19.0,2.0,0.0,0.0,80.0,16.0,18.0,47.1
Luiz Araújo,br BRA,FW.MF,29-140,40,20,2213.0,24.6,8.0,6.0,14.0,8.0,0.0,0.0,3.0,0.0,4.5,4.5,5.0,9.5,37.0,94.0,161.0,0.33,0.24,0.57,0.33,0.57,0.22,0.24,0.47,0.22,0.47,Matches,24.6,8.0,61.0,27.0,44.3,2.48,1.1,0.13,0.3,20.0,3.0,0.0,0.0,0.09,2.5,2.5,662.0,876.0,75.6,10876.0,2600.0,349.0,396.0,88.1,232.0,282.0,82.3,60.0,129.0,46.5,6.0,5.0,4.3,1.0,46.0,50.0,22.0,5.0,94.0,56.0,49.0,15.0,31.0,10.0,22.0,38.0,57.9,16.0,21.0,0.0,21.0,10.0,66.0,11.0,0.0,1133.0,15.0,108.0,413.0,628.0,75.0,1133.0,55.0,24.0,43.6,28.0,50.9,601.0,3043.0,1334.0,37.0,37.0,13.0,44.0,30.0,761.0,161.0,0.0,48.0,26.0,1.0,122.0,10.0,49.0,0.0,0.0,0.0,59.0,11.0,22.0,33.3
Bruno Henrique,br BRA,FW,34-294,38,21,2030.0,22.6,4.0,2.0,6.0,3.0,1.0,1.0,6.0,0.0,5.2,4.4,1.8,6.1,42.0,43.0,157.0,0.18,0.09,0.27,0.13,0.22,0.25,0.08,0.33,0.21,0.29,Matches,22.6,4.0,54.0,17.0,31.5,2.39,0.75,0.06,0.18,16.5,0.0,1.0,1.0,0.08,-2.2,-2.4,338.0,457.0,74.0,4403.0,946.0,225.0,263.0,85.6,89.0,118.0,75.4,9.0,16.0,56.3,2.0,1.8,1.3,0.2,17.0,20.0,18.0,5.0,43.0,26.0,19.0,4.0,10.0,12.0,9.0,21.0,42.9,12.0,16.0,0.0,16.0,5.0,31.0,11.0,0.0,723.0,11.0,37.0,261.0,433.0,100.0,722.0,65.0,29.0,44.6,30.0,46.2,455.0,2501.0,1183.0,42.0,28.0,16.0,61.0,28.0,541.0,157.0,0.0,47.0,41.0,20.0,19.0,5.0,19.0,0.0,0.0,0.0,38.0,33.0,41.0,44.6
Alex Sandro,br BRA,DF,34-267,26,24,2023.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,1.5,1.7,45.0,162.0,72.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08,Matches,22.5,0.0,8.0,1.0,12.5,0.36,0.04,0.0,0.0,16.1,0.0,0.0,0.0,0.03,-0.2,-0.2,1228.0,1421.0,86.4,20276.0,7336.0,613.0,658.0,93.2,517.0,566.0,91.3,85.0,152.0,55.9,0.0,1.5,1.8,-1.5,16.0,146.0,22.0,8.0,162.0,29.0,15.0,9.0,14.0,6.0,5.0,10.0,50.0,5.0,16.0,7.0,9.0,21.0,50.0,63.0,1.0,1606.0,70.0,394.0,821.0,403.0,24.0,1606.0,31.0,16.0,51.6,12.0,38.7,909.0,3882.0,2154.0,45.0,43.0,6.0,18.0,14.0,1088.0,72.0,0.0,53.0,22.0,2.0,42.0,21.0,15.0,0.0,0.0,0.0,95.0,31.0,14.0,68.9
Guillermo Varela,uy URU,DF,32-210,29,18,1773.0,19.7,1.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.3,0.3,0.9,1.2,35.0,72.0,128.0,0.05,0.2,0.25,0.05,0.25,0.02,0.05,0.07,0.02,0.07,Matches,19.7,1.0,6.0,2.0,33.3,0.3,0.1,0.17,0.5,16.2,0.0,0.0,0.0,0.06,0.7,0.7,885.0,1017.0,87.0,12997.0,3293.0,507.0,548.0,92.5,316.0,359.0,88.0,33.0,60.0,55.0,4.0,0.9,1.1,3.1,8.0,59.0,11.0,5.0,72.0,27.0,23.0,15.0,8.0,4.0,12.0,21.0,57.1,9.0,12.0,4.0,8.0,10.0,35.0,57.0,1.0,1196.0,39.0,274.0,542.0,388.0,28.0,1196.0,26.0,14.0,53.8,11.0,42.3,614.0,2938.0,1420.0,35.0,24.0,4.0,26.0,9.0,790.0,128.0,0.0,17.0,16.0,3.0,41.0,10.0,23.0,0.0,1.0,0.0,58.0,21.0,23.0,47.7
Gonzalo Plata,ec ECU,FW.MF,24-353,29,17,1658.0,18.4,4.0,5.0,9.0,4.0,0.0,0.0,4.0,1.0,3.9,3.9,2.7,6.6,38.0,62.0,154.0,0.22,0.27,0.49,0.22,0.49,0.24,0.16,0.41,0.24,0.41,Matches,18.4,4.0,35.0,16.0,45.7,1.9,0.87,0.11,0.25,16.3,2.0,0.0,0.0,0.12,0.1,0.1,558.0,693.0,80.5,7074.0,1669.0,377.0,431.0,87.5,145.0,178.0,81.5,11.0,21.0,52.4,5.0,2.7,2.4,2.3,32.0,53.0,17.0,1.0,62.0,39.0,31.0,19.0,10.0,10.0,11.0,26.0,42.3,15.0,14.0,0.0,14.0,4.0,42.0,11.0,0.0,905.0,8.0,84.0,367.0,467.0,79.0,905.0,53.0,27.0,50.9,23.0,43.4,529.0,2944.0,1224.0,38.0,31.0,11.0,47.0,26.0,671.0,154.0,1.0,26.0,21.0,4.0,20.0,4.0,31.0,0.0,0.0,0.0,61.0,14.0,27.0,34.1
Jorginho,it ITA,MF,33-304,20,18,1601.0,17.8,2.0,2.0,4.0,0.0,2.0,2.0,5.0,0.0,1.2,0.4,0.4,0.8,11.0,116.0,16.0,0.11,0.11,0.22,0.0,0.11,0.08,0.03,0.11,0.03,0.05,Matches,17.8,2.0,9.0,2.0,22.2,0.51,0.11,0.0,0.0,22.7,0.0,2.0,2.0,0.06,-0.2,-0.4,1107.0,1227.0,90.2,17380.0,5280.0,560.0,595.0,94.1,463.0,503.0,92.0,56.0,89.0,62.9,2.0,0.4,1.4,1.6,11.0,116.0,21.0,2.0,116.0,20.0,15.0,5.0,12.0,3.0,13.0,27.0,48.1,14.0,12.0,3.0,9.0,27.0,43.0,6.0,2.0,1329.0,35.0,270.0,840.0,226.0,6.0,1328.0,11.0,5.0,45.5,5.0,45.5,850.0,3905.0,1856.0,11.0,18.0,0.0,15.0,12.0,1062.0,16.0,0.0,21.0,25.0,0.0,8.0,27.0,15.0,0.0,0.0,0.0,96.0,8.0,9.0,47.1
Pedro,br BRA,FW,28-122,33,19,1542.0,17.1,14.0,6.0,20.0,13.0,1.0,2.0,3.0,0.0,10.7,8.9,2.7,11.7,12.0,24.0,101.0,0.82,0.35,1.17,0.76,1.11,0.69,0.18,0.86,0.58,0.75,Matches,17.1,14.0,57.0,29.0,50.9,3.33,1.69,0.23,0.45,15.3,0.0,1.0,2.0,0.19,3.3,4.1,205.0,286.0,71.7,2761.0,504.0,120.0,153.0,78.4,50.0,70.0,71.4,14.0,16.0,87.5,6.0,2.7,2.0,3.3,24.0,13.0,8.0,0.0,24.0,13.0,8.0,4.0,4.0,5.0,6.0,15.0,40.0,9.0,11.0,1.0,10.0,7.0,20.0,9.0,0.0,482.0,7.0,19.0,187.0,278.0,98.0,480.0,28.0,11.0,39.3,16.0,57.1,296.0,1058.0,330.0,12.0,4.0,8.0,52.0,25.0,373.0,101.0,0.0,16.0,28.0,2.0,6.0,7.0,8.0,2.0,0.0,0.0,28.0,11.0,27.0,28.9
Wesley,br BRA,DF,22-044,18,17,1542.0,17.1,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,0.5,0.5,1.3,1.8,48.0,64.0,164.0,0.06,0.12,0.18,0.06,0.18,0.04,0.08,0.12,0.04,0.12,Matches,17.1,1.0,17.0,4.0,23.5,0.99,0.23,0.06,0.25,25.1,0.0,0.0,0.0,0.03,0.5,0.5,789.0,929.0,84.9,12472.0,2944.0,411.0,449.0,91.5,304.0,351.0,86.6,49.0,78.0,62.8,2.0,1.3,1.9,0.7,16.0,49.0,25.0,11.0,64.0,37.0,32.0,19.0,15.0,3.0,15.0,29.0,51.7,14.0,13.0,3.0,10.0,22.0,54.0,22.0,2.0,1102.0,22.0,210.0,472.0,429.0,30.0,1102.0,44.0,24.0,54.5,15.0,34.1,673.0,3320.0,1695.0,48.0,29.0,13.0,37.0,17.0,754.0,164.0,0.0,22.0,34.0,2.0,73.0,22.0,32.0,0.0,0.0,0.0,81.0,13.0,14.0,48.1
Gerson,br BRA,MF.FW,28-153,17,16,1339.0,14.9,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,1.2,1.2,2.8,4.1,18.0,90.0,65.0,0.07,0.2,0.27,0.07,0.27,0.1,0.23,0.33,0.1,0.33,Matches,14.9,1.0,19.0,9.0,47.4,1.28,0.6,0.05,0.11,17.9,0.0,0.0,0.0,0.09,-1.2,-1.2,622.0,709.0,87.7,10523.0,2601.0,322.0,350.0,92.0,237.0,261.0,90.8,53.0,67.0,79.1,3.0,2.8,1.8,0.2,23.0,55.0,23.0,2.0,90.0,21.0,19.0,6.0,10.0,5.0,9.0,15.0,60.0,6.0,13.0,2.0,11.0,8.0,28.0,4.0,0.0,815.0,12.0,102.0,444.0,276.0,36.0,815.0,35.0,21.0,60.0,12.0,34.3,509.0,2397.0,1236.0,18.0,20.0,6.0,18.0,16.0,642.0,65.0,0.0,14.0,38.0,1.0,13.0,8.0,19.0,0.0,0.0,0.0,50.0,7.0,6.0,53.8
Erick Pulgar,cl CHI,MF,31-278,18,15,1280.0,14.2,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.2,0.2,0.5,0.7,3.0,55.0,14.0,0.07,0.0,0.07,0.07,0.07,0.02,0.04,0.06,0.02,0.06,Matches,14.2,1.0,7.0,3.0,42.9,0.49,0.21,0.14,0.33,23.6,1.0,0.0,0.0,0.04,0.8,0.8,696.0,780.0,89.2,11379.0,3238.0,334.0,354.0,94.4,304.0,333.0,91.3,41.0,60.0,68.3,0.0,0.5,1.1,-0.5,7.0,79.0,5.0,0.0,55.0,20.0,17.0,6.0,9.0,5.0,7.0,18.0,38.9,11.0,6.0,4.0,2.0,24.0,41.0,19.0,2.0,877.0,33.0,213.0,550.0,120.0,10.0,877.0,7.0,5.0,71.4,2.0,28.6,508.0,2024.0,812.0,3.0,9.0,0.0,9.0,5.0,649.0,14.0,0.0,23.0,12.0,0.0,20.0,24.0,17.0,0.0,0.0,1.0,60.0,13.0,4.0,76.5
Nicolás De La Cruz,uy URU,MF,28-141,20,15,1228.0,13.6,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,0.6,0.6,1.5,2.1,13.0,111.0,29.0,0.07,0.0,0.07,0.07,0.07,0.04,0.11,0.15,0.04,0.15,Matches,13.6,1.0,13.0,4.0,30.8,0.95,0.29,0.08,0.25,24.6,5.0,0.0,0.0,0.05,0.4,0.4,913.0,1052.0,86.8,15534.0,4513.0,430.0,461.0,93.3,397.0,431.0,92.1,70.0,118.0,59.3,0.0,1.5,2.3,-1.5,20.0,106.0,23.0,4.0,111.0,23.0,15.0,14.0,9.0,0.0,15.0,28.0,53.6,13.0,9.0,2.0,7.0,9.0,32.0,12.0,1.0,1152.0,18.0,178.0,713.0,269.0,5.0,1152.0,8.0,3.0,37.5,3.0,37.5,735.0,3178.0,1381.0,13.0,29.0,0.0,23.0,8.0,880.0,29.0,0.0,25.0,43.0,0.0,49.0,9.0,15.0,0.0,0.0,0.0,80.0,11.0,6.0,64.7
